"name","mail","mail2","tel","tel2","adrs","adrs2"
"ECOLE PRIVEE","emblavez.beaulieu.ecolpriv@wanadoo.fr","ec43.priv.beaulieu@ac-clermont.fr","04 71 08 55 28","Not found","Route de Margeaix43800 BEAULIEUFrance","Not found"
"ECOLE PRIVEE DU SACRE-COEUR","Not found","Not found","03 85 96 28 40","Not found","Rue de l'Eglise71460 JONCYFrance","Not found"
"ECOLE PRIVEE SAINT-AUBIN","ecoleprive.st.aubin@wanadoo.fr","Not found","05 61 62 86 20","Not found","41 bis rue Riquet31000 TOULOUSEFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","ecolesteanne-ba@orange.fr","Not found","04 77 39 60 01","Not found","7 rue de la République42220 BOURG ARGENTALFrance","Not found"
"ECOLE PRIVEE MONTJOIE","ecole.montjoie@free.fr","Not found","02 99 81 95 06","02 99 81 25 09","81 rue de Riancourt35400 ST MALOFrance","Not found"
"ECOLE PRIVEE SAINT-VINCENT","Not found","Not found","04 74 01 14 98","Not found","2 allée du Colombier69210 BULLYFrance","Not found"
"OZAR HATORAH  ECOLE, COLLEGE ET LYCEE PRIVES","ozar31@wanadoo.fr","Not found","05 61 26 43 54","Not found","33 rue Jules Dalou31500 TOULOUSEFrance","Not found"
"ECOLE PRIVEE","ec.stgeorgesdesgardes@ec49.org","Not found","02 41 62 79 27","Not found","1 rue du Bordage49120 ST GEORGES DES GARDESFrance","Not found"
"ECOLE PRIVEE SAINT-VITAL","ec.st-viaud.st-vital@ec44.scolanet.org","Not found","02 40 27 68 87","Not found","5 rue Aimé Bigeard44320 ST VIAUDFrance","Not found"
"ECOLE, COLLEGE ET LYCEE PRIVES   MERKAZ HATORAH","Not found","Not found","01 43 02 41 29","Not found","65-67 boulevard du Midi93340 LE RAINCYFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","Not found","Not found","03 81 44 34 34","Not found","La Combe25380 BELLEHERBEFrance","Not found"
"ECOLE PRIVEE CLAUDE MARQUET","claude.marquet@wanadoo.fr","eco56.cm.pontivy@eco.ecbretagne.org","02 97 25 22 98","Not found","Rue Rosa Parks56300 PONTIVYFrance","Not found"
"ECOLE PRIVEE DE L'ANGE GARDIEN","ecole.ange.gardien@wanadoo.fr","Not found","02 33 38 51 34","Not found","1 rue du Pré au Foin61700 DOMFRONTFrance","Not found"
"ECOLE PRIVEE SAINT-SOLANGE","sainte-solange@wanadoo.fr","Not found","02 48 58 09 86","Not found","4 rue du Docteur Gressin18700 AUBIGNY SUR NEREFrance","Not found"
"ECOLE PRIVEE SAINTE-JEANNE D'ARC","ecole-jeanne-darc@wanadoo.fr","Not found","02 47 65 80 96","Not found","32 rue Principale37800 ST EPAINFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","02 97 56 12 25","Not found","Rue Joseph Evenas56400 PLUMERGATFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","eco.steth.inguiniel@ddec56.org","Not found","02 97 32 08 32","Not found","25 rue de Saint-Alban56240 INGUINIELFrance","Not found"
"ECOLE PRIVEE SAINT-JEAN-BAPTISTE","ecoleprivee.mlc@wanadoo.fr","Not found","02 51 38 04 32","Not found","27 rue de la Gillonnière85000 MOUILLERON LE CAPTIFFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME DE LA SALETTE","Not found","Not found","02 51 42 23 25","Not found","Rue du Parc85250 LA RABATELIEREFrance","Not found"
"ECOLE PRIVEE SAINT-CHARLES","ecole.saint.charles@free.fr","Not found","02 51 27 04 98","Not found","14 rue Saint-Nicolas85400 STE GEMME LA PLAINEFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","jdarc.stpierre73@wanadoo.fr","Not found","04 79 28 53 81","Not found","Le Bourg73250 ST PIERRE D ALBIGNYFrance","Not found"
"ECOLE PRIVEE SAINT-TUDY","ecoltudy@infonie.fr","Not found","02 97 86 86 56","Not found","Route de Kermario56590 ILE DE GROIXFrance","Not found"
"ECOLE, COLLEGE ET LYCEE PRIVES  NOTRE-DAME DES VICTOIRES LES OISEAUX","ndv@ac-grenoble.fr","Not found","04 76 05 07 24","04 76 05 16 23","1 rue de la Terrasse - BP 23638506 VOIRON CEDEXFrance","Not found"
"ECOLE, COLLEGE ET LYCEE JEAN-PAUL II","Not found","ecolegermain.primaire@wanadoo.fr","02 33 76 56 56","Not found","73 rue d'Ikley50200 COUTANCESFrance","Not found"
"ECOLE, COLLEGE ET LYCEE SAINTE-ANNE","secretariatsteanne@wanadoo.fr","Not found","02 43 62 12 50","Not found","5 rue Alain de Rougé - BP 17572300 SABLE SUR SARTHE CEDEXFrance","Not found"
"ECOLE PRIVEE DES COLOMBES","ecolombes@yahoo.fr","Not found","04 78 48 48 49","Not found","Le Bourg69610 GREZIEU LE MARCHEFrance","Not found"
"ECOLE PRIVEE SAINTE-MADELEINE","ecole.privee.replonges@wanadoo.fr","Not found","04 85 31 01 80","Not found","63 rue du Mottier01750 REPLONGESFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","ce.0421235p@ac-lyon.fr","Not found","04 77 62 50 46","Not found","Place de l'Eglise42260 CREMEAUXFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","eco22.ste-anne.plelo@eco.ecbretagne.org","Not found","02 96 74 12 91","Not found","4 rue des Ecoles22170 PLELOFrance","Not found"
"ECOLE PRIVEE DU SACRE-COEUR","coeur.l@wanadoo.fr","eco22.sc.plourhan@eco.ecbretagne.org","02 96 71 94 06","Not found","Rue de la Fontaine22410 PLOURHANFrance","Not found"
"ECOLE PRIVEE DE LA PROVIDENCE","Not found","Not found","02 98 44 42 67","Not found","1 rue Bruat29200 BRESTFrance","Not found"
"ECOLE PRIVEE SAINT-MICHEL","saint-michelchave@free.fr","Not found","04 91 42 92 23","Not found","185 boulevard Chave13005 MARSEILLEFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE  DE L'ENFANT-JESUS","stetherese66@orange.fr","Not found","04 68 34 81 64","Not found","3 rue des Archers66000 PERPIGNANFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE D'AVILA","ste.therese.davila@wanadoo.fr","Not found","04 91 62 35 79","Not found","47 boulevard Dahdah13004 MARSEILLEFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH  SAINT-VINCENT FERRIER","ecole-stjo-stvincentferrier-vannes@wanadoo.fr","eco.stjo.vannes@ddec56.org","02 97 47 11 55","Not found","10 rue Jean Martin56000 VANNESFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","vimyecolestetherese@wanadoo.fr","Not found","03 21 58 56 30","Not found","21 rue Jules Ferry62580 VIMYFrance","Not found"
"ECOLE PRIVEE SAINT-REGIS","Ecole.Privee.Labegude@inforoutes-ardeche.fr","Not found","04 75 37 52 97","Not found","6 Place du Pradou07200 LABEGUDEFrance","Not found"
"ECOLE PRIVEE  LE CRAYON ENCHANTE","ec-vocpr@inforoutes-ardeche.fr","Not found","04 75 34 66 55","Not found","Rue du Pavé07690 VOCANCEFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","04 66 32 57 03","Not found","Le Village48260 NASBINALSFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","ecole.stjo.beauvoir@free.fr","Not found","02 51 68 72 33","Not found","26 rue du 8 Mai85230 BEAUVOIR SUR MERFrance","Not found"
"ECOLE PRIVEE SAINT JEAN-BAPTISTE","Not found","Not found","02 54 77 34 38","Not found","19 rue de la Vallée41100 COULOMMIERS LA TOURFrance","Not found"
"L'ENFANT-JESUS  ECOLE BILINGUE PRIVEE","Not found","Not found","02 98 93 00 23","Not found","Place de Verdun29270 CARHAIX PLOUGUERFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","sainte-therese.guilers@wanadoo.fr","Not found","02 98 07 63 80","Not found","Croas Land - BP 6429820 GUILERSFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","stvb80@udogecs.fr","Not found","03 22 93 73 74","Not found","12 rue du 14 Juillet80260 VILLERS BOCAGEFrance","Not found"
"ECOLE PRIVEE LE SACRE-COEUR","ecole.stsulpice@free.fr","Not found","02 40 97 03 44","Not found","26 rue Bretagne44540 ST SUPLICE DES LANDESFrance","Not found"
"ECOLE PRIVEE SAINTE-JEANNE D'ARC","ecole.vieillevigne@orange.fr","Not found","02 40 26 51 96","Not found","12 avenue de Nantes44116 VIEILLEVIGNEFrance","Not found"
"ECOLE PRIVEE SAINT-FRANÇOIS","ec.st-molf.st-francois@ec44.scolanet.org","ecole.st-françois651@orange.fr","02 40 62 58 95","Not found","Rue du Pays Blanc44350 ST MOLFFrance","Not found"
"ECOLE PRIVEE SAINT-PIERRE","ec.remouille.st-pierre@ec44.scolanet.org","Not found","02 40 03 81 97","Not found","15 rue de la Cure44140 REMOUILLEFrance","Not found"
"ECOLE PRIVEE SAINT-JEAN","ecolesaintjeansterblon@megalis.org","Not found","02 99 52 35 12","Not found","1 rue de la Croix Faucheux35230 ST ERBLONFrance","Not found"
"ECOLE PRIVEE SAINT-MICHEL","ecoleprivee.saintmichel@sfr.fr","Not found","05 59 37 04 26","Not found","Le Bourg64220 ST JEAN LE VIEUXFrance","Not found"
"ECOLE ET COLLEGE PRIVES SAINTE-MARIE","ec.ste.marie.casteljaloux@ac-bordeaux.fr","Not found","05 53 93 01 52","Not found","Avenue de Lirac47700 CASTELJALOUXFrance","Rue du Milieu"
"ECOLE PRIVEE SAINT-MICHEL","direction.ecolesaintmichel@wanadoo.fr","Not found","04 77 71 67 85","Not found","14 rue Raspail42300 ROANNEFrance","Not found"
"ECOLE PRIVEE SACRE-COEUR - SAINT-PAUL","Not found","Not found","03 20 26 01 67","Not found","46 rue Vauban59420 MOUVAUXFrance","Not found"
"ECOLE PRIVEE DE CREPOUNAC","Not found","Not found","05 65 59 93 28","Not found","Rue du Couvent12250 TOURNEMIREFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","02 97 53 20 38","Not found","2 rue Pierre Jakez-Hlias56250 TREFFLEANFrance","Not found"
"ECOLE PRIVEE SAINT-MARTIN","Not found","Not found","02 97 67 14 52","Not found","2 rue du Château56250 TREDIONFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","origne.ste.jeanne.d.arc@wanadoo.fr","Not found","02 43 98 33 07","Not found","5 chemin de la Benâtre53360 ORIGNEFrance","Not found"
"ECOLE PRIVEE SAINT-AIGNAN","ecolestaignanvergeal@hotmail.com","Not found","02 99 49 55 59","Not found","8 rue des Manoirs35680 VERGEALFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME D'ALLIANCE","notredame2@wanadoo.fr","Not found","02 99 76 32 66","Not found","20 rue de la Fontaine35680 BAISFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","ecolestemarie.baulon@laposte.net","Not found","02 99 85 37 97","Not found","4 rue du Temple35580 BAULONFrance","Not found"
"ECOLE PRIVEE DU SACRE-COEUR","Not found","Not found","03 20 94 52 55","Not found","50 rue Fiévet59960 NEUVILLE EN FERRAINFrance","Not found"
"ECOLE PRIVEE EMILIE DE RODAT","Not found","Not found","05 65 45 21 92","Not found","6 allée Aristide Briand12200 VILLEFRANCHE DE ROUERGUEFrance","Not found"
"ECOLE PRIVEE IMMACULEE-CONCEPTION","Not found","Not found","03 21 38 01 82","Not found","18 place de la Ghière62500 ST OMERFrance","Not found"
"ECOLE PRIVEE SAINTE-GENEVIEVE DU MARAIS","ecpsg@wanadoo.fr","direction.ecpsg@orange.fr","01 42 72 61 43","Not found","9 rue du Foin75003 PARISFrance","Not found"
"ECOLE SAINT-PIERRE DE CHAILLOT","stpierredechaillot@free.fr","Not found","01 47 23 95 09","Not found","10 rue Christophe Colomb75008 PARISFrance","Not found"
"ENSEMBLE SCOLAIRE  SAINT-LAURENT LA PAIX NOTRE-DAME","st.laurent.primaire@wanadoo.fr","st.laurent.direction@wanadoo.fr","01 64 30 03 99","01 64 12 47 00","47 rue Saint-Laurent77400 LAGNY SUR MARNE CEDEXFrance","Lycée : 43 rue Alfred Brebion"
"ECOLE ET COLLEGE PRIVES SAINT-PAUL","st-paul-mamers@wanadoo","ec.mamers.stpaul@ec72.org","02 43 97 60 52","Not found","24 rue Ledru Rollin72600 MAMERSFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","Not found","Not found","05 63 34 71 74","Not found","51 rue Barricouteau81300 GRAULHETFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","04 75 84 69 27","Not found","Le Village26600 BEAUMONT MONTEUXFrance","Not found"
"ECOLE PRIVEE STEPHANIE DE VIRIEU","stephanie.devirieu@wanadoo.fr","Not found","04 74 88 28 08","Not found","Rue du Vallon de Lamartine38730 VIRIEU SUR BOURBREFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","jeanned-arc-herblay@wanadoo.fr","Not found","01 39 97 35 67","Not found","1 rue Jean XXIII95220 HERBLAYFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","ecole-jeanne-darc-oloron@wanadoo.fr","Not found","05 59 39 03 82","Not found","14 rue de Révol64400 OLORON STE MARIEFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","jdarc.stpierre73@wanadoo.fr","Not found","04 79 28 53 81","Not found","Le Bourg73250 ST PIERRE D ALBIGNYFrance","Not found"
"ECOLE PRIVEE SAINT-TUDY","ecoltudy@infonie.fr","Not found","02 97 86 86 56","Not found","Route de Kermario56590 ILE DE GROIXFrance","Not found"
"ECOLE, COLLEGE ET LYCEE POLYVALENT  PRIVES NOTRE-DAME","ndpapel12@scolalor.tm.fr","Not found","03 87 74 36 80","Not found","2 rue de Metz57245 PELTREFrance","Not found"
"ECOLE ET COLLEGE PRIVES ETCHECOPAR","college.etchecopar@wanadoo.fr","Not found","05 59 65 71 99","05 59 65 66 18 (école)","Route Aicirits - BP 4264120 ST PALAISFrance","Not found"
"INSTITUTION NOTRE-DAME  ECOLE, COLLEGE ET LYCEE PRIVES","college_lycee.ndame09@laposte.net","notre-dame.09@wanadoo.fr","05 34 01 36 40","Not found","3 place des Cordeliers09100 PAMIERSFrance","Not found"
"ECOLE, COLLEGE ET LYCEE PRIVES  NOTRE-DAME DES VICTOIRES LES OISEAUX","ndv@ac-grenoble.fr","Not found","04 76 05 07 24","04 76 05 16 23","1 rue de la Terrasse - BP 23638506 VOIRON CEDEXFrance","Not found"
"ECOLE, COLLEGE ET LYCEE JEAN-PAUL II","Not found","ecolegermain.primaire@wanadoo.fr","02 33 76 56 56","Not found","73 rue d'Ikley50200 COUTANCESFrance","Not found"
"ECOLE, COLLEGE ET LYCEE LA PERSEVERANCE","ce.9710988x@ac-guadeloupe.fr","Not found","0590821589","Not found","Boissard - BP 49397165 POINTE A PITRE CEDEXFrance","Not found"
"ECOLE ET COLLEGE PRIVES  DU SAINT-SACREMENT","e-st-sacrement-aigrefeuille-daunis@ac-poitiers.fr","Not found","05 46 35 50 48","Not found","36 place de la République - BP 1317290 AIGREFEUILLE D AUNISFrance","Not found"
"ECOLE ET COLLEGE PRIVES  NOTRE-DAME DE LA SALETTE","college.salette@aricia.fr","Not found","03 84 44 96 96","03 84 44 63 39","22 rue du Château Charrin - BP 2839210 VOITEURFrance","Ecole :"
"ECOLE, COLLEGE  ET LYCEE PRIVES  SAINT-DOMINIQUE","Saint-Dominique.60@wanadoo.fr","Not found","03 44 54 31 38","Not found","5 rue Gérard de Nerval60128 MORTEFONTAINEFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","Not found","Not found","03 28 41 83 76","03 28 41 87 30","13 rue du Presbytère59190 HAZEBROUCKFrance","Annexe : 61 avenue Masson Beau"
"ECOLE PRIVEE NOTRE-DAME","notredame.ales@wanadoo.fr","Not found","04 66 26 14 34","Not found","Impasse Caporal Alliot30000 NIMESFrance","Not found"
"ECOLE PRIVEE ST-JOSEPH","stjoboucieu@wanadoo.fr","Not found","04 75 06 75 24","Not found","Quartier Notre-Dame07270 BOUCIEU LE ROIFrance","Not found"
"ECOLE PRIVEE JEAN-BAPTISTE CHABANEL","ec-etapr@inforoutes-ardeche.fr","Not found","04 75 06 85 78","Not found","Chemin de Poulains07300 ETABLESFrance","Not found"
"ECOLE PRIMAIRE PRIVEE DU SACRE-COEUR","ec-prive-vouneuil@cg86.fr","Not found","05 49 85 10 39","Not found","28 place de la Libération86210 VOUNEUIL SUR VIENNEFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","ecole-privee.sainte-marie@wanadoo","Not found","04 66 32 60 30","09 60 03 58 08","Rue des Ecoles48340 ST GERMAIN DU TEILFrance","Not found"
"ECOLE PRIVEE SAINT-JEAN","ecole-saintjean@wanadoo.fr","Not found","02 51 42 16 32","Not found","40 rue du Chanoine Bouchet85610 LA BERNADIEREFrance","Not found"
