"name","mail","mail2","tel","tel2","adrs","adrs2"
"ECOLE PRIVEE ELEMENTAIRE ET MATERNELLE NOTRE-DAME","ndamebelair@orange.fr","Not found","02 54 21 15 88","Not found","1 avenue du Père Noir36100 ISSOUDUNFrance","Not found"
"ECOLE PRIVEE BILINGUE INTERNATIONALE","info@epbi.org","Not found","04 67 70 78 44","Not found","Domaine de Massane34670 BAILLARGUESFrance","Not found"
"INSTITUT SAINT-DOMINIQUE  ECOLE ET COLLEGE PRIVES CATHOLIQUES","clg.stdominique.rouen@srec-hn.com","ec.stdominique.rouen@srec-hn.com","02 35 07 81 60","Not found","44 rue Verte76000 ROUENFrance","Not found"
"ENSEMBLE SCOLAIRE ST-MICHEL DE PICPUS - ECOLE","Not found","Not found","01 43 43 87 65","01 43 44 25 99 (secrétariat inscriptions)","Ecole :47 boulevard de Picpus75012 PARISFrance","Secrétariat des inscriptions : 53 rue de la Gare de Reuilly - 75012 PARIS"
"COLLEGE PRIVE MOREAU - ECOLE PRIMAIRE BLAISE PASCAL","contact@college-prive-moreau.com","Not found","01 69 01 00 20","Not found","28 Grande Rue91310 MONTLHERYFrance","Not found"
"EURECOLE  ETABLISSEMENT PRIVÉ LAÏQUE TRILINGUE","assist.dir@eurecole.com","Not found","01 40 70 12 81","Not found","5 rue de Lübeck75116 PARISFrance","Not found"
"COURS DU SOLEIL","mcdsplet@gmail.com","Not found","01 45 20 17 47","Not found","53 rue Jean de la Fontaine75016 PARISFrance","Not found"
"ÉCOLE, COLLÈGE ET LYCÉE PRIVÉS  SAINTE ELISABETH","direction@sainte-elisabeth.com","cfrantz@sainte-elisabeth.com","01 45 54 56 76","Not found","112 rue de Lourmel75015 PARISFrance","Not found"
"ECOLE PRIMAIRE DES ROCHES","primaire@ecoledesroches.com","info@roches.org","02 32 60 40 03","Not found","Nationale 12Avenue Demolins27130 VERNEUIL SUR AVREFrance","Not found"
"THE LENNEN BILINGUAL SCHOOL  PRIMARY SCHOOL","primary@lennenbilingual.com","Not found","01 44 42 99 00","09 67 35 01 93","176 rue de Grenelle75007 PARISFrance","Not found"
"THE LENNEN BILINGUAL SCHOOL  PRIMARY SCHOOL","primary@lennenbilingual.com","Not found","01 44 42 99 00","09 67 35 01 93","176 rue de Grenelle75007 PARISFrance","Not found"
"ECOLE ET COLLEGE PRIVES SAINT-GEORGES","ecole@saint-georges-paris.fr","Not found","01 40 40 40 50","Not found","19 rue Bouret75019 PARISFrance","Not found"
"ECOLE NOUVELLE EMILIE BRANDT","emilie.brandt@wanadoo.fr","Not found","01 47 58 53 40","Not found","12 rue du Parc92300 LEVALLOIS PERRETFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE - SAINTE-MARIE GROUPE SAINT-VINCENT-DE-PAUL","contact@gs-svp.com","Not found","01 45 80 02 13","01 45 88 35 33","109 rue Bobillot75013 PARISFrance","Not found"
"EIB - ECOLE INTERNATIONALE BILINGUE - MONCEAU","monceau@.eib.paris.fr","Not found","01 46 22 14 24","Not found","6 avenue Van Dyck75008 PARISFrance","Not found"
"EIB - ECOLE INTERNATIONALE BILINGUE - LAMARTINE","lamartine@eibparis.fr","Not found","01 45 53 89 36","Not found","123 rue de la Pompe75116 PARISFrance","Not found"
"ECOLE FABERT","centre@fabert.com","Not found","01 47 05 32 68","Not found","79 avenue de Ségur75015 PARISFrance","Not found"
"ECOLE CANADIENNE BILINGUE DE PARIS -CANADIAN BILINGUAL SCHOOL OF PARIS","admissions@ecb-cbs.ca","Not found","+33 (0)1 43 87 00 44","Not found","5 rue d'Aguesseau3 ème étage75008 PARISFrance","Not found"
"SAINT-DENIS INTERNATIONAL SCHOOL","accueil@saint-denis.net","secretariat@saint-denis.net","02 47 59 04 26","02 47 91 61 08","Collège et lycée St Denis : 19 avenue de Gaulle37600 LOCHESFrance","Ecole Saint-Martin : Mail Droulin"
"COURS PERRIER  ECOLE PRIVEE CATHOLIQUE","cours.perrier@free.fr","Not found","04 74 68 03 45","Not found","167 rue Roland69400 VILLEFRANCHE SUR SAONEFrance","Not found"
"ECOLE PRIVEE SAINTE-JEANNE D'ARC","ecole-stejeannedarc@orange.fr","Not found","01 45 83 60 23","Not found","24 bis rue Charcot75013 PARISFrance","Not found"
"INSTITUTION LES MARRONNIERS  ECOLE ET COLLEGE PRIVES","college-les-marronniers@laclasse.com","Not found","04 37 04 60 40","Not found","Secondaire : 19 Grande Rue69420 CONDRIEUFrance","Ecole : 39 rue des granges"
"GROUPE SCOLAIRE ST-JEAN DE MONTMARTRE - ECOLE PRIMAIRE","dirprim.stjean@wanadoo.fr","Not found","01 46 06 03 08","Not found","31 rue Caulaincourt75018 PARISFrance","Not found"
"ECOLE PRIVEE BILINGUE DE LYON : OMBROSA  MATERNELLE, PRIMAIRE ET SECONDAIRE","direction@ombrosa.net","Not found","04 78 23 22 63","04 78 93 71 00","95 Quai Clémenceau69300 CALUIRE ET CUIREFrance","Maternelle : THE NURSERY"
"THE NURSERY  MATERNELLE OMBROSA","direction@ombrosa.com","Not found","04 78 93 71 00","Not found","50 rue Vendôme69006 LYONFrance","Not found"
"OMBROSA - ECOLE BILINGUE DE SAVOIE","ecole-bilingue-de-savoie@wanadoo.fr","Not found","04 79 54 48 86","Not found","Rue centrale73420 VOGLANSFrance","Not found"
"ECOLE DE L'API","ecole-api@club-internet.fr","Not found","02 33 34 97 97","Not found","Le Bourg61550 ST EVROULT NOTRE DAME DU BOISFrance","Not found"
"NEW SCHOOL ECOLE PRIVEE BILINGUE","accueil@new-school.eu","Not found","04 78 09 02 83","Not found","67 avenue Jean Mermoz69008 LYONFrance","Not found"
"ECOLE ET COLLEGE PRIVES  NOTRE-DAME DE L'ISLE ADAM","info@ecolenotredame.org","Not found","01 34 69 01 07","Not found","39 rue Saint-Lazare - BP2007695290 L ISLE ADAMFrance","Not found"
"ECOLE ALSACIENNE  ECOLE, COLLEGE, LYCEE PRIVES","courrier@ecole-alsacienne.org","Not found","01 44 32 04 70","Not found","109 rue Notre-Dame des Champs75006 PARISFrance","Not found"
"INSTITUTION SAINTE-MARIE  ECOLE ET COLLEGE PRIVES","saintemarie.bourget@laposte.net","Not found","01 48 37 13 50","Not found","17 rue Edgar Quinet - BP 1393351 LE BOURGET CEDEXFrance","Not found"
"COURS HATTEMER","courriel@hattemer.fr","contact-ha@hattemer.fr","01 43 87 59 14","01 40 82 77 80","52 rue de Londres75008 PARISFrance","Formation à distance :Hattemer Academy 76 rue Saint-Lazare - 75009 PARIShttp://hattemer-academy.com/"
"COURS RENE REAUMUR  ","cours.rene.reaumur@wanadoo.fr","Not found","01 42 36 41 49","Not found","81 rue Réaumur75002 PARISFrance","Not found"
"ECOLE PERCEVAL","accueil@ecoleperceval.org","Not found","01 39 52 16 64","Not found","5 avenue d'Epremesnil78400 CHATOUFrance","Not found"
"LE JARDIN D'EGLANTINE","j-e.eglantine@steiner-waldorf.org","federation@steiner-waldorf.org","01 45 43 58 89","Not found","165 boulevard Brune75014 PARISFrance","Not found"
"ECOLE ST JOSEPH L'ESPERANCE","directricestjosephlesperance@gmail.com","Not found","06 86 66 92 54","Not found","Centre ville de Vernon27200 VERNONFrance","Not found"
