"name","country","mail"
"EDITORIAL ALBATROS","Argentina","acanevaro@albatros.com.ar"
"ARGENTINA-EXPORT PROMOTION AGENCY-FUNDACIÓN EXPORTAR","Argentina","aperetti@exportar.org.ar"
"ARTE A BABOR","Argentina",""
"BARCELBAIRES EDICIONES S.A.","Argentina","catalina.r@barcelbaires.com.ar"
"CALIBROSCOPIO EDICIONES","Argentina","editorial@calibroscopio.com.ar"
"EDICIONES DE LA FLOR SRL","Argentina","delaflor@edicionesdelaflor.com.ar"
"EDITORIAL GUADAL S.A.","Argentina","info@editorialguadal.com.ar"
"EPSA MUSIC / HADAS CANTANTES","Argentina","hadascantantes@gmail.com"
"EUDEBA SEM","Argentina","adriana.glossmam@eudeba.com.ar"
"ADRIANA HIDALGO EDITORA","Argentina","info@adrianahidalgo.com"
"EDICIONES IAMIQUÉ","Argentina","info@iamique.com.ar"
"ILUSTRADORES ARGENTINOS INDEPENDIENTES","Argentina","ilustradores.arg@gmail.com"
"LETRA IMPRESA GRUPO EDITOR","Argentina","medina@letraimpresa.com.ar"
"LIMONERO","Argentina","info@limonero.com.ar"
"PEQUEÑO EDITOR","Argentina","contacto@pequenoeditor.com"
"1ST ARMENIAN LITERARY AGENCY","Armenia","arevik@1litagency.am"
"ANTARES LTD","Armenia","antares@antares.am"
"ALLEN &amp; UNWIN PTY LTD.","Australia","info@allenandunwin.com"
"AUSTRALIAN LICENSING CORPORATION (A.L.C.)","Australia","alc@alc-online.com"
"BEACHSAND PUBLISHING PTY LTD.","Australia","info@beachsandpublishing.com.au"
"BLAKE PUBLISHING","Australia","nadeem@blake.com.au"
"BROLLY BOOKS","Australia","andrew@brollybooks.com"
"THE CHOICEMAKER PTY LTD.","Australia","export@thechoicemaker.com;sophia.han@thechoicemaker.com"
"THE FIVE MILE PRESS PTY LTD.","Australia","kimq@fivemile.com.au"
"HARDIE GRANT EGMONT","Australia","joannaanderson@hardiegrant.com.au"
"HINKLER BOOKS PTY LTD.","Australia","nadika.garber@hinkler.com.au"
"LAKE PRESS","Australia","david@lakepress.com.au"
"LOU SILLUZIO DOMJAF MEDIA PTY LTD","Australia","lou.s.silluzio@gmail.com;lsilluzio@barryplant.com.au"
"NEW FRONTIER PUBLISHING","Australia","peter@newfrontier.com.au"
"PENGUIN RANDOM HOUSE AUSTRALIA","Australia","EShorneHolden@penguinrandomhouse.com.au"
"SCHOLASTIC AUSTRALIA PTY LTD.","Australia","customer_service@scholastic.com.au"
"AUSTRIAN FEDERAL ECONOMIC CHAMBER","Austria","marion.tschernutter@wko.at"
"VERLAGSBUCHHANDLUNG JULIUS BREITSCHOPF GMBH","Austria","breitschopf.verlag@utanet.at"
"JGIM VERLAG","Austria","kontakt@juliegehtinsmuseum.at"
"VERLAG JUNGBRUNNEN","Austria","office@jungbrunnen.co.at"
"OBELISK VERLAG","Austria","info@obelisk-verlag.at"
"PICUS VERLAG GMBH","Austria","info@picus.at"
"VERLAGSANSTALT TYROLIA GESELLSCHAFT M.B.H.","Austria","katrin.feiner@tyrolia.at"
"WKÖ FV D. BUCH -UND MEDIENWIRTSCHAFT","Austria","buchwirtschaft@wko.at"
"A PAS DE LOUPS","Belgium","contact@apasdeloups.com"
"ABIMO PUBLISHERS","Belgium","info@abimo.net"
"ALICE JEUNESSE","Belgium","info@alice-editions.be"
"AVERBODE PUBLISHERS","Belgium","info@verbode.be"
"BAECKENS BOOKS","Belgium","klaas@baeckensbooks.be"
"BALLON MEDIA NV","Belgium","s.mertens@ballonmedia.com"
"EDITIONS CARAMEL","Belgium","jmdoultremont@caramel.be"
"CARTAMUNDI DIGITAL","Belgium","info@cartamundi-digital.com"
"EDITIONS CASTERMAN S.A.","Belgium","jbaron@casterman.com"
"CHANTECLER","Belgium","export@znu.be"
"CLAVIS PUBLISHING","Belgium","info@clavisbooks.com"
"CUBERDON BOOKS","Belgium","geert.serre@cuberdonbooks.com"
"DAVIDSFONDS/INFODOK","Belgium","uitgeverij@davidsfonds.be"
"DE EENHOORN","Belgium","rights@eenhoorn.be"
"C. DE VRIES-BROUWERS","Belgium","dvdkantoor@skynet.be"
"DELTAS-ZNU N.V.","Belgium","export@znu.be"
"FLEMISH LITERATURE FUND","Belgium","info@vfl.be"
"FONDATION MAURICE CAREME","Belgium","fondation@mauricecareme.be"
